workclass,education,marital-status,occupation,relationship,race,sex,native-country,income,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week
4.0,6.0,4.0,10.0,3.0,4.0,0.0,39.0,0.0,27.153637,133277.55,7.0,0.0,0.0,34.618576
4.0,0.0,0.0,14.0,3.0,4.0,1.0,39.0,1.0,48.98673,134148.81,6.0,0.0,0.0,40.0
4.0,6.0,4.0,10.0,3.0,4.0,1.0,39.0,0.0,32.020184,133679.36,7.0,0.0,0.0,37.378746
4.0,0.0,0.0,14.0,4.0,4.0,1.0,39.0,1.0,51.999996,134189.98,6.0,0.0,0.0,39.999996
4.0,6.0,4.0,10.0,3.0,4.0,0.0,39.0,1.0,26.992191,133019.16,7.0,0.0,0.0,35.063557
4.0,4.0,4.0,7.0,3.0,4.0,1.0,39.0,1.0,29.593893,180083.52,8.0,0.0,0.0,39.60721
4.0,11.0,4.0,4.0,3.0,4.0,0.0,39.0,0.0,42.21571,180684.84,9.0,0.0,0.0,40.0
4.0,11.0,4.0,7.0,3.0,4.0,0.0,39.0,1.0,31.091423,180543.1,8.0,0.0,0.0,39.868057
4.0,11.0,4.0,1.0,3.0,4.0,0.0,39.0,0.0,49.999996,180606.98,9.0,0.0,0.0,39.999996
4.0,4.0,4.0,7.0,3.0,4.0,0.0,39.0,0.0,33.46072,179603.27,8.0,0.0,0.0,39.380608
4.0,4.0,4.0,5.0,2.0,4.0,1.0,39.0,0.0,29.363327,178801.19,8.0,0.0,0.0,36.6815
0.0,0.0,2.0,0.0,5.0,4.0,0.0,13.0,0.0,41.224556,177830.7,6.0,0.0,0.0,24.519909
4.0,4.0,2.0,5.0,2.0,4.0,0.0,39.0,0.0,30.672188,178369.62,8.0,0.0,0.0,34.592186
0.0,0.0,2.0,0.0,5.0,4.0,0.0,5.0,0.0,46.999996,178012.98,6.0,0.0,0.0,19.999998
4.0,4.0,4.0,5.0,2.0,4.0,1.0,13.0,0.0,29.184586,179083.12,8.0,0.0,0.0,36.17885
4.0,15.0,2.0,10.0,0.0,4.0,1.0,39.0,0.0,39.629322,107087.3,10.0,0.0,0.0,41.902332
4.0,15.0,2.0,3.0,0.0,4.0,1.0,39.0,0.0,34.022125,109345.516,10.0,0.0,0.0,36.25553
4.0,15.0,2.0,10.0,0.0,4.0,1.0,39.0,0.0,38.4782,107864.984,10.0,0.0,0.0,40.67414
6.0,15.0,2.0,3.0,0.0,4.0,1.0,39.0,0.0,28.999998,109000.99,10.0,0.0,0.0,34.999996
4.0,15.0,2.0,3.0,0.0,4.0,1.0,39.0,0.0,40.255783,105643.85,10.0,0.0,0.0,45.03568
1.0,8.0,4.0,8.0,3.0,4.0,1.0,39.0,1.0,33.91246,113485.586,9.0,0.0,0.0,26.517303
4.0,8.0,4.0,8.0,4.0,4.0,0.0,39.0,1.0,29.73562,112822.28,11.0,0.0,0.0,17.533184
1.0,11.0,4.0,1.0,3.0,4.0,0.0,39.0,1.0,28.77346,113433.34,9.0,0.0,0.0,25.447702
4.0,8.0,4.0,8.0,4.0,4.0,0.0,39.0,1.0,32.999996,112304.99,11.0,0.0,0.0,9.999999
1.0,8.0,4.0,8.0,3.0,4.0,0.0,39.0,1.0,37.469246,113448.2,9.0,0.0,0.0,19.29085
4.0,11.0,0.0,6.0,3.0,4.0,1.0,39.0,0.0,35.353935,289323.9,9.0,0.0,385.56638,53.486713
4.0,11.0,4.0,8.0,2.0,4.0,1.0,39.0,0.0,21.748894,289587.2,9.0,0.0,0.0,38.74447
4.0,11.0,0.0,6.0,3.0,4.0,1.0,39.0,0.0,32.18084,289001.66,9.0,0.0,398.06052,52.11389
4.0,11.0,4.0,8.0,2.0,4.0,1.0,39.0,0.0,21.999998,290503.97,9.0,0.0,0.0,39.999996
4.0,11.0,0.0,6.0,3.0,4.0,1.0,39.0,0.0,39.19602,290186.3,9.0,0.0,0.0,49.984947
4.0,11.0,2.0,12.0,0.0,4.0,1.0,39.0,1.0,38.68803,171604.94,9.0,0.0,373.54413,45.84204
4.0,11.0,2.0,14.0,0.0,4.0,1.0,39.0,1.0,50.713497,174381.38,9.0,0.0,0.0,43.74447
4.0,11.0,2.0,12.0,0.0,4.0,1.0,39.0,1.0,40.295597,171646.12,9.0,0.0,125.47886,45.927795
4.0,11.0,2.0,14.0,0.0,4.0,1.0,39.0,2.0,58.999996,175941.98,9.0,0.0,0.0,44.999996
4.0,11.0,2.0,12.0,0.0,4.0,1.0,39.0,1.0,41.84133,172327.56,9.0,0.0,589.03986,44.949265
5.0,12.0,4.0,7.0,2.0,4.0,0.0,34.0,0.0,35.058834,228603.84,13.0,0.0,0.0,38.16574
4.0,12.0,4.0,4.0,2.0,2.0,0.0,1.0,0.0,34.03982,228262.47,10.0,0.0,0.0,37.488937
5.0,12.0,4.0,7.0,2.0,4.0,0.0,34.0,0.0,37.149696,228598.6,13.0,0.0,0.0,37.273376
4.0,15.0,4.0,3.0,2.0,1.0,0.0,1.0,0.0,24.999998,228607.98,10.0,0.0,0.0,39.999996
5.0,15.0,4.0,4.0,2.0,4.0,0.0,34.0,0.0,28.476053,229150.36,13.0,0.0,0.0,39.999996
4.0,15.0,4.0,8.0,3.0,4.0,1.0,39.0,0.0,36.57598,114342.86,10.0,0.0,0.0,40.74067
1.0,15.0,4.0,3.0,3.0,4.0,1.0,39.0,0.0,51.484516,113504.72,10.0,0.0,0.0,40.0
4.0,15.0,4.0,8.0,3.0,4.0,1.0,39.0,0.0,40.309875,114277.086,10.0,0.0,0.0,41.10026
